Year,Rank,Rider,Time,Team
2016,50,Jan Bakelants (BEL),"+ 2h 13' 47""",AG2R La Mondiale
2016,51,Kristijan Đurasek (CRO),"+ 2h 15' 16""",Lampre–Merida
2016,52,Jakob Fuglsang (DEN),"+ 2h 17' 16""",Astana
2016,53,George Bennett (NZL),"+ 2h 18' 05""",LottoNL–Jumbo
2016,54,Jan Polanc (SLO),"+ 2h 18' 24""",Lampre–Merida
2016,55,Luis Ángel Maté (ESP),"+ 2h 21' 17""",Cofidis
2016,56,Georg Preidler (AUT),"+ 2h 25' 45""",Team Giant–Alpecin
2016,57,Mikaël Cherel (FRA),"+ 2h 27' 45""",AG2R La Mondiale
2016,58,Robert Kišerlovski (CRO),"+ 2h 28' 06""",Tinkoff
2016,59,Eduardo Sepúlveda (ARG),"+ 2h 28' 27""",Fortuneo–Vital Concept
2016,60,Fabrice Jeandesboz (FRA),"+ 2h 39' 17""",Direct Énergie
2016,61,Ben Gastauer (LUX),"+ 2h 41' 05""",AG2R La Mondiale
2016,62,Alexey Lutsenko (KAZ),"+ 2h 41' 52""",Astana
2016,63,Anthony Roux (FRA),"+ 2h 43' 51""",FDJ
2016,64,Martin Elmiger (SUI),"+ 2h 44' 01""",IAM Cycling
2016,65,Patrick Konrad (AUT),"+ 2h 46' 32""",Bora–Argon 18
2016,66,Simon Geschke (GER),"+ 2h 47' 32""",Team Giant–Alpecin
2016,67,Alberto Losada (ESP),"+ 2h 48' 02""",Team Katusha
2016,68,Cyril Gautier (FRA),"+ 2h 49' 49""",AG2R La Mondiale
2016,69,Winner Anacona (COL),"+ 2h 50' 23""",Movistar Team
2016,70,Brice Feillu (FRA),"+ 2h 50' 49""",Fortuneo–Vital Concept
2016,71,Tony Gallopin (FRA),"+ 2h 51' 23""",Lotto–Soudal
2016,72,Rubén Plaza (ESP),"+ 2h 53' 10""",Orica–BikeExchange
2016,73,Laurens ten Dam (NED),"+ 2h 53' 22""",Team Giant–Alpecin
2016,74,Paolo Tiralongo (ITA),"+ 2h 58' 12""",Astana
2016,75,Jérôme Coppel (FRA),"+ 2h 58' 48""",IAM Cycling
2016,76,Michael Schär (SUI),"+ 3h 00' 54""",BMC Racing Team
2016,77,Michael Valgren (DEN),"+ 3h 01' 22""",Tinkoff
2016,78,Arthur Vichot (FRA),"+ 3h 02' 10""",FDJ
2016,79,Thomas Voeckler (FRA),"+ 3h 02' 35""",Direct Énergie
2016,80,Nelson Oliveira (POR),"+ 3h 04' 53""",Movistar Team
2016,81,Romain Sicard (FRA),"+ 3h 09' 11""",Direct Énergie
2016,82,Tom-Jelte Slagter (NED),"+ 3h 09' 19""",Cannondale–Drapac
2016,83,Oliver Naesen (BEL),"+ 3h 11' 28""",IAM Cycling
2016,84,Chris Anker Sørensen (DEN),"+ 3h 12' 52""",Fortuneo–Vital Concept
2016,85,Daniel Teklehaimanot (ERI),"+ 3h 14' 07""",Team Dimension Data
2016,86,Andriy Hrivko (UKR),"+ 3h 14' 31""",Astana
2016,87,Arnold Jeannesson (FRA),"+ 3h 18' 14""",Cofidis
2016,88,Jan Bárta (CZE),"+ 3h 19' 44""",Bora–Argon 18
2016,89,Marcus Burghardt (GER),"+ 3h 20' 22""",BMC Racing Team
2016,90,Anthony Delaplace (FRA),"+ 3h 21' 09""",Fortuneo–Vital Concept
2016,91,Dylan van Baarle (NED),"+ 3h 23' 15""",Cannondale–Drapac
2016,92,Tsgabu Grmay (ETH),"+ 3h 23' 17""",Lampre–Merida
2016,93,Pierre-Luc Périchon (FRA),"+ 3h 24' 36""",Fortuneo–Vital Concept
2016,94,Bert-Jan Lindeman (NED),"+ 3h 26' 19""",LottoNL–Jumbo
2016,95,Peter Sagan (SVK),"+ 3h 27' 09""",Tinkoff
2016,96,Jérémy Roy (FRA),"+ 3h 27' 15""",FDJ
2016,97,Reto Hollenstein (SUI),"+ 3h 28' 33""",IAM Cycling
2016,98,Paul Martens (GER),"+ 3h 33' 29""",LottoNL–Jumbo
2016,99,Jasper Stuyven (BEL),"+ 3h 33' 29""",Trek–Segafredo
2016,100,Adam Hansen (AUS),"+ 3h 34' 26""",Lotto–Soudal
2016,101,Paul Voss (GER),"+ 3h 36' 25""",Bora–Argon 18
2016,102,Luka Pibernik (SLO),"+ 3h 38' 17""",Lampre–Merida
2016,103,Vasil Kiryienka (BLR),"+ 3h 38' 41""",Team Sky
2016,104,Sep Vanmarcke (BEL),"+ 3h 40' 02""",LottoNL–Jumbo
2016,105,Florian Vachon (FRA),"+ 3h 40' 09""",Fortuneo–Vital Concept
2016,106,Nicolas Edet (FRA),"+ 3h 42' 42""",Cofidis
2016,107,Antoine Duchesne (CAN),"+ 3h 44' 54""",Direct Énergie
2016,108,Imanol Erviti (ESP),"+ 3h 46' 42""",Movistar Team
2016,109,Edvald Boasson Hagen (NOR),"+ 3h 47' 29""",Team Dimension Data
2016,110,Michael Matthews (AUS),"+ 3h 47' 40""",Orica–BikeExchange
2016,111,Timo Roosen (NED),"+ 3h 50' 43""",LottoNL–Jumbo
2016,112,Luke Durbridge (AUS),"+ 3h 51' 55""",Orica–BikeExchange
2016,113,Bryan Coquard (FRA),"+ 3h 51' 57""",Direct Énergie
2016,114,Julien Vermote (BEL),"+ 3h 52' 50""",Etixx–Quick-Step
2016,115,Reinardt Janse van Rensburg (RSA),"+ 3h 56' 30""",Team Dimension Data
2016,116,Yukiya Arashiro (JPN),"+ 3h 57' 06""",Lampre–Merida
2016,117,Brent Bookwalter (USA),"+ 3h 57' 49""",BMC Racing Team
2016,118,Petr Vakoč (CZE),"+ 3h 57' 58""",Etixx–Quick-Step
2016,119,Christopher Juul-Jensen (DEN),"+ 3h 58' 10""",Orica–BikeExchange
2016,120,Markel Irizar (ESP),"+ 3h 58' 17""",Trek–Segafredo
2016,121,Jérôme Cousin (FRA),"+ 3h 58' 36""",Cofidis
2016,122,Roy Curvers (NED),"+ 4h 03' 16""",Team Giant–Alpecin
2016,123,Grégory Rast (SUI),"+ 4h 03' 44""",Trek–Segafredo
2016,124,Lawson Craddock (USA),"+ 4h 03' 44""",Cannondale–Drapac
2016,125,Natnael Berhane (ERI),"+ 4h 04' 27""",Team Dimension Data
2016,126,Jürgen Roelandts (BEL),"+ 4h 05' 22""",Lotto–Soudal
2016,127,William Bonnet (FRA),"+ 4h 06' 18""",FDJ
2016,128,Cesare Benedetti (ITA),"+ 4h 06' 23""",Bora–Argon 18
2016,129,Ángel Vicioso (ESP),"+ 4h 08' 07""",Team Katusha
2016,130,Samuel Dumoulin (FRA),"+ 4h 08' 08""",AG2R La Mondiale
2016,131,Alex Howes (USA),"+ 4h 08' 22""",Cannondale–Drapac
2016,132,Michael Albasini (SUI),"+ 4h 09' 04""",Orica–BikeExchange
2016,133,André Greipel (GER),"+ 4h 09' 07""",Lotto–Soudal
2016,134,Ramūnas Navardauskas (LIT),"+ 4h 09' 40""",Cannondale–Drapac
2016,135,Mathew Hayman (AUS),"+ 4h 10' 33""",Orica–BikeExchange
2016,136,Matteo Bono (ITA),"+ 4h 12' 53""",Lampre–Merida
2016,137,Cyril Lemoine (FRA),"+ 4h 13' 49""",Cofidis
2016,138,Maarten Wynants (BEL),"+ 4h 16' 53""",LottoNL–Jumbo
2016,139,Iljo Keisse (BEL),"+ 4h 16' 57""",Etixx–Quick-Step
2016,140,Stephen Cummings (GBR),"+ 4h 17' 03""",Team Dimension Data
2016,141,Sondre Holst Enger (NOR),"+ 4h 17' 32""",IAM Cycling
2016,142,Geoffrey Soupe (FRA),"+ 4h 18' 15""",Cofidis
2016,143,Ramon Sinkeldam (NED),"+ 4h 21' 41""",Team Giant–Alpecin
2016,144,Maximiliano Richeze (ARG),"+ 4h 22' 02""",Etixx–Quick-Step
2016,145,Matteo Tosatto (ITA),"+ 4h 22' 05""",Tinkoff
2016,146,Armindo Fonseca (FRA),"+ 4h 23' 01""",Fortuneo–Vital Concept
2016,147,Alexis Gougeard (FRA),"+ 4h 23' 42""",AG2R La Mondiale
2016,148,John Degenkolb (GER),"+ 4h 24' 24""",Team Giant–Alpecin
2016,149,Alexander Kristoff (NOR),"+ 4h 24' 24""",Team Katusha
2016,150,Fabio Sabatini (ITA),"+ 4h 26' 39""",Etixx–Quick-Step
2016,151,Luke Rowe (GBR),"+ 4h 27' 49""",Team Sky
2016,152,Kristijan Koren (SLO),"+ 4h 28' 01""",Cannondale–Drapac
2016,153,Albert Timmer (NED),"+ 4h 28' 11""",Team Giant–Alpecin
2016,154,Andreas Schillinger (GER),"+ 4h 28' 33""",Bora–Argon 18
2016,155,Greg Henderson (NZL),"+ 4h 29' 22""",Lotto–Soudal
2016,156,Oscar Gatto (ITA),"+ 4h 29' 38""",Tinkoff
2016,157,Christophe Laporte (FRA),"+ 4h 29' 47""",Cofidis
2016,158,Yohann Gène (FRA),"+ 4h 30' 02""",Direct Énergie
2016,159,Maciej Bodnar (POL),"+ 4h 30' 30""",Tinkoff
2016,160,Dylan Groenewegen (NED),"+ 4h 30' 34""",LottoNL–Jumbo
2016,161,Ian Stannard (GBR),"+ 4h 31' 34""",Team Sky
2016,162,Marco Haller (AUT),"+ 4h 31' 40""",Team Katusha
2016,163,Robert Wagner (GER),"+ 4h 32' 09""",LottoNL–Jumbo
2016,164,Adrien Petit (FRA),"+ 4h 32' 25""",Direct Énergie
2016,165,Jacopo Guarnieri (ITA),"+ 4h 34' 45""",Team Katusha
2016,166,Marcel Kittel (GER),"+ 4h 35' 06""",Etixx–Quick-Step
2016,167,Vegard Breen (NOR),"+ 4h 38' 27""",Fortuneo–Vital Concept
2016,168,Davide Cimolai (ITA),"+ 4h 39' 37""",Lampre–Merida
2016,169,Marcel Sieberg (GER),"+ 4h 40' 24""",Lotto–Soudal
2016,170,Daniel McLay (GBR),"+ 4h 50' 14""",Fortuneo–Vital Concept
2016,171,Bernhard Eisel (AUT),"+ 4h 51' 07""",Team Dimension Data
2016,172,Leigh Howard (AUS),"+ 4h 55' 13""",IAM Cycling
2016,173,Lars Bak (DEN),"+ 5h 01' 18""",Lotto–Soudal
2016,174,Sam Bennett (IRL),"+ 5h 17' 14""",Bora–Argon 18
2017,1,Chris Froome (GBR),"86h 20' 55""",Team Sky
2017,2,Rigoberto Urán (COL),"+ 54""",Cannondale–Drapac
2017,3,Romain Bardet (FRA),"+ 2' 20""",AG2R La Mondiale
2017,4,Mikel Landa (ESP),"+ 2' 21""",Team Sky
2017,5,Fabio Aru (ITA),"+ 3' 05""",Astana
2017,6,Dan Martin (IRL),"+ 4' 42""",Quick-Step Floors
2017,7,Simon Yates (GBR),"+ 6' 14""",Orica–Scott
2017,8,Louis Meintjes (RSA),"+ 8' 20""",UAE Team Emirates
2017,9,Alberto Contador (ESP),"+ 8' 49""",Trek–Segafredo
2017,10,Warren Barguil (FRA),"+ 9' 25""",Team Sunweb
2017,11,Damiano Caruso (ITA),"+ 14' 48""",BMC Racing Team
2017,12,Nairo Quintana (COL),"+ 15' 28""",Movistar Team
2017,13,Alexis Vuillermoz (FRA),"+ 24' 38""",AG2R La Mondiale
2017,14,Mikel Nieve (ESP),"+ 25' 28""",Team Sky
2017,15,Emanuel Buchmann (GER),"+ 33' 21""",Bora–Hansgrohe
2017,16,Brice Feillu (FRA),"+ 36' 46""",Fortuneo–Oscaro
2017,17,Bauke Mollema (NED),"+ 37' 43""",Trek–Segafredo
2017,18,Carlos Betancur (COL),"+ 37' 47""",Movistar Team
2017,19,Serge Pauwels (BEL),"+ 39' 36""",Team Dimension Data
2017,20,Tiesj Benoot (BEL),"+ 42' 04""",Lotto–Soudal
2017,21,Tony Gallopin (FRA),"+ 42' 39""",Lotto–Soudal
2017,22,Jan Bakelants (BEL),"+ 50' 04""",AG2R La Mondiale
2017,23,Guillaume Martin (FRA),"+ 53' 52""",Wanty–Groupe Gobert
2017,24,Roman Kreuziger (CZE),"+ 59' 58""",Orica–Scott
2017,25,Sylvain Chavanel (FRA),"+ 1h 04' 22""",Direct Énergie
2017,26,Romain Hardy (FRA),"+ 1h 12' 51""",Fortuneo–Oscaro
2017,27,Daniel Navarro (ESP),"+ 1h 15' 26""",Cofidis
2017,28,Sergio Henao (COL),"+ 1h 16' 32""",Team Sky
2017,29,Pierre Latour (FRA),"+ 1h 18' 45""",AG2R La Mondiale
2017,30,Mathias Frank (SUI),"+ 1h 21' 16""",AG2R La Mondiale
2017,31,Robert Kišerlovski (CRO),"+ 1h 25' 25""",Team Katusha–Alpecin
2017,32,Amaël Moinard (FRA),"+ 1h 32' 02""",BMC Racing Team
2017,33,Nicolas Roche (IRL),"+ 1h 32' 35""",BMC Racing Team
2017,34,Thomas Degand (BEL),"+ 1h 34' 02""",Wanty–Groupe Gobert
2017,35,Lilian Calmejane (FRA),"+ 1h 35' 16""",Direct Énergie
2017,36,Rudy Molard (FRA),"+ 1h 35' 55""",FDJ
2017,37,Ben Gastauer (LUX),"+ 1h 38' 33""",AG2R La Mondiale
2017,38,Primož Roglič (SLO),"+ 1h 44' 41""",LottoNL–Jumbo
2017,39,Diego Ulissi (ITA),"+ 1h 45' 23""",UAE Team Emirates
2017,40,Marco Minnaard (NED),"+ 1h 48' 11""",Wanty–Groupe Gobert
2017,41,Darwin Atapuma (COL),"+ 1h 50' 31""",UAE Team Emirates
2017,42,Pierre-Luc Périchon (FRA),"+ 1h 57' 29""",Fortuneo–Oscaro
2017,43,Nathan Brown (USA),"+ 1h 57' 52""",Cannondale–Drapac
2017,44,Andrey Zeits (KAZ),"+ 1h 59' 09""",Astana
2017,45,Janez Brajkovič (SLO),"+ 2h 00' 38""",Bahrain–Merida
2017,46,Jarlinson Pantano (COL),"+ 2h 01' 30""",Trek–Segafredo
2017,47,Daryl Impey (RSA),"+ 2h 01' 59""",Orica–Scott
2017,48,Cyril Gautier (FRA),"+ 2h 03' 24""",AG2R La Mondiale
2017,49,Andrew Talansky (USA),"+ 2h 03' 27""",Cannondale–Drapac
2017,50,Kristijan Đurasek (CRO),"+ 2h 04' 53""",UAE Team Emirates
2017,51,Thomas De Gendt (BEL),"+ 2h 05' 36""",Lotto–Soudal
2017,52,Haimar Zubeldia (ESP),"+ 2h 06' 30""",Trek–Segafredo
2017,53,Gianluca Brambilla (ITA),"+ 2h 06' 57""",Quick-Step Floors
2017,54,Pierre Rolland (FRA),"+ 2h 11' 54""",Cannondale–Drapac
2017,55,Maxime Bouet (FRA),"+ 2h 13' 23""",Fortuneo–Oscaro
2017,56,Luis Ángel Maté (ESP),"+ 2h 15' 28""",Cofidis
2017,57,Michał Kwiatkowski (POL),"+ 2h 17' 48""",Team Sky
2017,58,Greg Van Avermaet (BEL),"+ 2h 19' 14""",BMC Racing Team
2017,59,Jens Keukeleire (BEL),"+ 2h 22' 26""",Orica–Scott
2017,60,Jonathan Castroviejo (ESP),"+ 2h 22' 44""",Movistar Team
2017,61,Michael Valgren (DEN),"+ 2h 25' 36""",Astana
2017,62,Esteban Chaves (COL),"+ 2h 27' 34""",Orica–Scott
2017,63,Oliver Naesen (BEL),"+ 2h 28' 02""",AG2R La Mondiale
2017,64,Simon Geschke (GER),"+ 2h 28' 57""",Team Sunweb
2017,65,Eduardo Sepúlveda (ARG),"+ 2h 31' 05""",Fortuneo–Oscaro
2017,66,Romain Sicard (FRA),"+ 2h 33' 24""",Direct Énergie
2017,67,Laurens ten Dam (NED),"+ 2h 34' 56""",Team Sunweb
2017,68,Axel Domont (FRA),"+ 2h 35' 33""",AG2R La Mondiale
2017,69,Michael Matthews (AUS),"+ 2h 36' 36""",Team Sunweb
2017,70,Koen de Kort (NED),"+ 2h 38' 33""",Trek–Segafredo
2017,71,Alexey Lutsenko (KAZ),"+ 2h 39' 10""",Astana
2017,72,Michael Schär (SUI),"+ 2h 41' 54""",BMC Racing Team
2017,73,Tsgabu Grmay (ETH),"+ 2h 42' 15""",Bahrain–Merida
2017,74,Tiago Machado (POR),"+ 2h 43' 36""",Team Katusha–Alpecin
2017,75,Maurits Lammertink (NED),"+ 2h 44' 01""",Team Katusha–Alpecin
2017,76,Nicolas Edet (FRA),"+ 2h 45' 11""",Cofidis
2017,77,Dylan van Baarle (NED),"+ 2h 47' 11""",Cannondale–Drapac
2017,78,Edvald Boasson Hagen (NOR),"+ 2h 48' 12""",Team Dimension Data
2017,79,Stefan Küng (SUI),"+ 2h 49' 17""",BMC Racing Team
2017,80,Paweł Poljański (POL),"+ 2h 53' 42""",Bora–Hansgrohe
2017,81,Danilo Wyss (SUI),"+ 2h 53' 51""",BMC Racing Team
2017,82,Paul Martens (GER),"+ 2h 54' 14""",LottoNL–Jumbo
2017,83,Ben Swift (GBR),"+ 2h 54' 48""",UAE Team Emirates
2017,84,Nikias Arndt (GER),"+ 2h 54' 54""",Team Sunweb
2017,85,Élie Gesbert (FRA),"+ 2h 55' 13""",Fortuneo–Oscaro
2017,86,Simon Clarke (AUS),"+ 2h 55' 27""",Cannondale–Drapac
2017,87,Andrey Amador (CRC),"+ 2h 56' 43""",Movistar Team
2017,88,Damien Howson (AUS),"+ 2h 56' 57""",Orica–Scott
2017,89,Angelo Tulik (FRA),"+ 2h 57' 05""",Direct Énergie
2017,90,Alberto Bettiol (ITA),"+ 2h 57' 56""",Cannondale–Drapac
2017,91,Thomas Voeckler (FRA),"+ 2h 58' 51""",Direct Énergie
2017,92,Imanol Erviti (ESP),"+ 3h 00' 21""",Movistar Team
2017,93,Bakhtiyar Kozhatayev (KAZ),"+ 3h 04' 11""",Astana
2017,94,Jay McCarthy (AUS),"+ 3h 05' 13""",Bora–Hansgrohe
2017,95,Nils Politt (GER),"+ 3h 05' 52""",Team Katusha–Alpecin
2017,96,Marco Marcato (ITA),"+ 3h 05' 53""",UAE Team Emirates
2017,97,Jesús Herrada (ESP),"+ 3h 06' 05""",Movistar Team
2017,98,Michael Albasini (SUI),"+ 3h 06' 55""",Orica–Scott
2017,99,Alessandro De Marchi (ITA),"+ 3h 07' 25""",BMC Racing Team
2017,100,Pieter Vanspeybrouck (BEL),"+ 3h 09' 38""",Wanty–Groupe Gobert
2017,101,Tony Martin (GER),"+ 3h 10' 18""",Team Katusha–Alpecin
2017,102,Zdeněk Štybar (CZE),"+ 3h 12' 12""",Quick-Step Floors
2017,103,Florian Vachon (FRA),"+ 3h 13' 10""",Fortuneo–Oscaro
2017,104,Daniele Bennati (ITA),"+ 3h 13' 44""",Movistar Team
2017,105,Jack Bauer (NZL),"+ 3h 15' 13""",Quick-Step Floors
2017,106,Perrig Quéméneur (FRA),"+ 3h 15' 40""",Direct Énergie
2017,107,Scott Thwaites (GBR),"+ 3h 16' 28""",Team Dimension Data
2017,108,Jasha Sütterlin (GER),"+ 3h 17' 53""",Movistar Team
2017,109,Yukiya Arashiro (JPN),"+ 3h 18' 16""",Bahrain–Merida
2017,110,Yoann Offredo (FRA),"+ 3h 20' 50""",Wanty–Groupe Gobert
2017,111,Matteo Bono (ITA),"+ 3h 20' 59""",UAE Team Emirates
2017,112,Vasil Kiryienka (BLR),"+ 3h 21' 15""",Team Sky
2017,113,Adam Hansen (AUS),"+ 3h 22' 31""",Lotto–Soudal
2017,114,Patrick Bevin (NZL),"+ 3h 23' 00""",Cannondale–Drapac
2017,115,Dmitriy Gruzdev (KAZ),"+ 3h 24' 42""",Astana
2017,116,Maciej Bodnar (POL),"+ 3h 26' 58""",Bora–Hansgrohe
2017,117,Julien Simon (FRA),"+ 3h 29' 21""",Cofidis
2017,118,Reinardt Janse van Rensburg (RSA),"+ 3h 30' 54""",Team Dimension Data
2017,119,Javier Moreno (ESP),"+ 3h 32' 06""",Bahrain–Merida
2017,120,Andriy Hrivko (UKR),"+ 3h 32' 14""",Astana
2017,121,John Degenkolb (GER),"+ 3h 35' 14""",Trek–Segafredo
2017,122,Sonny Colbrelli (ITA),"+ 3h 36' 22""",Bahrain–Merida
2017,123,Lars Bak (DEN),"+ 3h 37' 04""",Lotto–Soudal
2017,124,Dion Smith (NZL),"+ 3h 39' 24""",Wanty–Groupe Gobert
2017,125,Laurent Pichon (FRA),"+ 3h 39' 45""",Fortuneo–Oscaro
2017,126,Adrien Petit (FRA),"+ 3h 41' 34""",Direct Énergie
2017,127,Vegard Stake Laengen (NOR),"+ 3h 41' 52""",UAE Team Emirates
2017,128,Cyril Lemoine (FRA),"+ 3h 43' 45""",Cofidis
2017,129,Mike Teunissen (NED),"+ 3h 43' 52""",Team Sunweb
2017,130,Alexander Kristoff (NOR),"+ 3h 45' 40""",Team Katusha–Alpecin
2017,131,Marcus Burghardt (GER),"+ 3h 45' 57""",Bora–Hansgrohe
2017,132,Frederik Backaert (BEL),"+ 3h 46' 36""",Wanty–Groupe Gobert
2017,133,Christophe Laporte (FRA),"+ 3h 46' 47""",Cofidis
2017,134,Yohann Gène (FRA),"+ 3h 47' 08""",Direct Énergie
2017,135,Markel Irizar (ESP),"+ 3h 47' 10""",Trek–Segafredo
2017,136,Jürgen Roelandts (BEL),"+ 3h 47' 20""",Lotto–Soudal
2017,137,Andrea Pasqualon (ITA),"+ 3h 51' 18""",Wanty–Groupe Gobert
2017,138,Nacer Bouhanni (FRA),"+ 3h 51' 29""",Cofidis
2017,139,Julien Vermote (BEL),"+ 3h 52' 54""",Quick-Step Floors
2017,140,Thomas Boudat (FRA),"+ 3h 53' 08""",Direct Énergie
2017,141,Steve Cummings (GBR),"+ 3h 53' 10""",Team Dimension Data
2017,142,Roy Curvers (NED),"+ 3h 53' 38""",Team Sunweb
2017,143,Grega Bole (SLO),"+ 3h 55' 29""",Bahrain–Merida
2017,144,Christian Knees (GER),"+ 3h 55' 31""",Team Sky
2017,145,Rick Zabel (GER),"+ 3h 55' 48""",Team Katusha–Alpecin
2017,146,Michael Gogl (AUT),"+ 3h 59' 06""",Trek–Segafredo
2017,147,Guillaume Van Keirsbulck (BEL),"+ 3h 59' 48""",Wanty–Groupe Gobert
2017,148,Ramon Sinkeldam (NED),"+ 4h 01' 54""",Team Sunweb
2017,149,André Greipel (GER),"+ 4h 02' 54""",Lotto–Soudal
2017,150,Reto Hollenstein (SUI),"+ 4h 03' 45""",Team Katusha–Alpecin
2017,151,Mathew Hayman (AUS),"+ 4h 05' 17""",Orica–Scott
2017,152,Davide Cimolai (ITA),"+ 4h 06' 15""",FDJ
2017,153,Bernhard Eisel (AUT),"+ 4h 10' 18""",Team Dimension Data
2017,154,Fabio Sabatini (ITA),"+ 4h 10' 25""",Quick-Step Floors
2017,155,Marco Haller (AUT),"+ 4h 13' 50""",Team Katusha–Alpecin
2017,156,Dylan Groenewegen (NED),"+ 4h 16' 02""",LottoNL–Jumbo
2017,157,Albert Timmer (NED),"+ 4h 16' 21""",Team Sunweb
2017,158,Olivier Le Gac (FRA),"+ 4h 17' 21""",FDJ
2017,159,Taylor Phinney (USA),"+ 4h 18' 15""",Cannondale–Drapac
2017,160,Borut Božič (SLO),"+ 4h 18' 41""",Bahrain–Merida
2017,161,Florian Sénéchal (FRA),"+ 4h 19' 17""",Cofidis
2017,162,Jaco Venter (RSA),"+ 4h 20' 16""",Team Dimension Data
2017,163,Dimitri Claeys (BEL),"+ 4h 25' 01""",Cofidis
2017,164,Robert Wagner (GER),"+ 4h 25' 12""",LottoNL–Jumbo
2017,165,Rüdiger Selig (GER),"+ 4h 26' 43""",Bora–Hansgrohe
2017,166,Tom Leezer (NED),"+ 4h 32' 21""",LottoNL–Jumbo
2017,167,Luke Rowe (GBR),"+ 4h 35' 52""",Team Sky
2018,1,Geraint Thomas (GBR),"83h 17' 13""",Team Sky
2018,2,Tom Dumoulin (NED),"+ 1' 51""",Team Sunweb
2018,3,Chris Froome (GBR),"+ 2' 24""",Team Sky
2018,4,Primož Roglič (SVN),"+ 3' 22""",LottoNL–Jumbo
2018,5,Steven Kruijswijk (NED),"+ 6' 08""",LottoNL–Jumbo
2018,6,Romain Bardet (FRA),"+ 6' 57""",AG2R La Mondiale
2018,7,Mikel Landa (ESP),"+ 7' 37""",Movistar Team
2018,8,Dan Martin (IRL),"+ 9' 05""",UAE Team Emirates
2018,9,Ilnur Zakarin (RUS),"+ 12' 37""",Team Katusha–Alpecin
2018,10,Nairo Quintana (COL),"+ 14' 18""",Movistar Team
2018,11,Bob Jungels (LUX),"+ 16' 32""",Quick-Step Floors
2018,12,Jakob Fuglsang (DEN),"+ 19' 46""",Astana
2018,13,Pierre Latour (FRA),"+ 22' 13""",AG2R La Mondiale
2018,14,Alejandro Valverde (ESP),"+ 27' 26""",Movistar Team
2018,15,Egan Bernal (COL),"+ 27' 52""",Team Sky
2018,16,Tanel Kangert (EST),"+ 34' 52""",Astana
2018,17,Warren Barguil (FRA),"+ 37' 06""",Fortuneo–Samsic
2018,18,Domenico Pozzovivo (ITA),"+ 39' 08""",Bahrain–Merida
2018,19,Rafał Majka (POL),"+ 39' 57""",Bora–Hansgrohe
2018,20,Damiano Caruso (ITA),"+ 42' 31""",BMC Racing Team
2018,21,Guillaume Martin (FRA),"+ 44' 39""",Wanty–Groupe Gobert
2018,22,Ion Izagirre (ESP),"+ 46' 36""",Bahrain–Merida
2018,23,Mikel Nieve (ESP),"+ 49' 19""",Mitchelton–Scott
2018,24,Gorka Izagirre (ESP),"+ 50' 02""",Bahrain–Merida
2018,25,Simon Geschke (GER),"+ 50' 15""",Team Sunweb
2018,26,Bauke Mollema (NED),"+ 1h 06' 33""",Trek–Segafredo
2018,27,Pierre Rolland (FRA),"+ 1h 09' 09""",EF Education First–Drapac p/b Cannondale
2018,28,Greg Van Avermaet (BEL),"+ 1h 10' 14""",BMC Racing Team
2018,29,Adam Yates (GBR),"+ 1h 17' 35""",Mitchelton–Scott
2018,30,Lilian Calmejane (FRA),"+ 1h 18' 09""",Direct Énergie
2018,31,Robert Gesink (NED),"+ 1h 21' 13""",LottoNL–Jumbo
2018,32,Tejay van Garderen (USA),"+ 1h 23' 05""",BMC Racing Team
2018,33,Julian Alaphilippe (FRA),"+ 1h 28' 08""",Quick-Step Floors
2018,34,David Gaudu (FRA),"+ 1h 30' 01""",Groupama–FDJ
2018,35,Julien Bernard (FRA),"+ 1h 34' 12""",Trek–Segafredo
2018,36,Daniel Felipe Martínez (COL),"+ 1h 38' 38""",EF Education First–Drapac p/b Cannondale
2018,37,Antwan Tolhoek (NED),"+ 1h 39' 01""",LottoNL–Jumbo
2018,38,Rudy Molard (FRA),"+ 1h 47' 36""",Groupama–FDJ
2018,39,Sylvain Chavanel (FRA),"+ 1h 47' 47""",Direct Énergie
2018,40,Kristijan Đurasek (CRO),"+ 1h 48' 06""",UAE Team Emirates
2018,41,Arthur Vichot (FRA),"+ 1h 51' 19""",Groupama–FDJ
2018,42,Maxime Bouet (FRA),"+ 1h 58' 08""",Fortuneo–Samsic
2018,43,Nicolas Edet (FRA),"+ 1h 58' 54""",Cofidis
2018,44,Michael Valgren (DEN),"+ 1h 59' 20""",Astana
2018,45,Daniel Navarro (ESP),"+ 2h 00' 32""",Cofidis
2018,46,Daryl Impey (RSA),"+ 2h 00' 53""",Mitchelton–Scott
2018,47,Jesús Herrada (ESP),"+ 2h 01' 52""",Cofidis
2018,48,Amaël Moinard (FRA),"+ 2h 03' 20""",Fortuneo–Samsic
2018,49,Michał Kwiatkowski (POL),"+ 2h 05' 29""",Team Sky
2018,50,Andrey Amador (CRC),"+ 2h 05' 38""",Movistar Team
2018,51,Laurens ten Dam (NED),"+ 2h 06' 22""",Team Sunweb
2018,52,Søren Kragh Andersen (DEN),"+ 2h 06' 23""",Team Sunweb
2018,53,Stefan Küng (SUI),"+ 2h 07' 14""",BMC Racing Team
2018,54,Thomas Degand (BEL),"+ 2h 09' 54""",Wanty–Groupe Gobert
2018,55,Mathias Frank (SUI),"+ 2h 10' 29""",AG2R La Mondiale
2018,56,Jesper Hansen (DEN),"+ 2h 10' 33""",Astana
