Year,Date,Stage,Course,Distance,Type,Winner
1997,1997-07-21,15,Courchevel to Morzine,208.5 km (129.6 mi),Mountain stage,Marco Pantani (ITA)
1997,1997-07-22,16,Morzine to Fribourg (Switzerland),181.0 km (112.5 mi),Hilly stage,Christophe Mengin (FRA)
1997,1997-07-23,17,Fribourg (Switzerland) to Colmar,218.5 km (135.8 mi),Flat stage,Neil Stephens (AUS)
1997,1997-07-24,18,Colmar to Montbéliard,175.5 km (109.1 mi),Hilly stage,Didier Rous (FRA)
1997,1997-07-25,19,Montbéliard to Dijon,172.0 km (106.9 mi),Flat stage,Mario Traversoni (ITA)
1997,1997-07-26,20,Disneyland Paris,63.0 km (39.1 mi),Individual time trial,Abraham Olano (ESP)
1997,1997-07-27,21,Disneyland Paris to Paris (Champs-Élysées),149.5 km (92.9 mi),Flat stage,Nicola Minali (ITA)
1998,1998-07-11,P,Dublin (Ireland),5.6 km (3 mi),Individual time trial,Chris Boardman (GBR)
1998,1998-07-12,1,Dublin (Ireland),180.5 km (112 mi),Flat stage,Tom Steels (BEL)
1998,1998-07-13,2,Enniscorthy (Ireland) to Cork (Ireland),205.5 km (128 mi),Flat stage,Ján Svorada (CZE)
1998,1998-07-14,3,Roscoff to Lorient,169 km (105 mi),Flat stage,Jens Heppner (GER)
1998,1998-07-15,4,Plouay to Cholet,252 km (157 mi),Flat stage,Jeroen Blijlevens (NED)
1998,1998-07-16,5,Cholet to Châteauroux,228.5 km (142 mi),Flat stage,Mario Cipollini (ITA)
1998,1998-07-17,6,La Châtre to Brive-la-Gaillarde,204.5 km (127 mi),Flat stage,Mario Cipollini (ITA)
1998,1998-07-18,7,Meyrignac-l'Église to Corrèze,58 km (36 mi),Individual time trial,Jan Ullrich (GER)
1998,1998-07-19,8,Brive-la-Gaillarde to Montauban,190.5 km (118 mi),Flat stage,Jacky Durand (FRA)
1998,1998-07-20,9,Montauban to Pau,210 km (130 mi),Flat stage,Léon van Bon (NED)
1998,1998-07-21,10,Pau to Luchon,196.5 km (122 mi),High mountain stage,Rodolfo Massi (ITA)
1998,1998-07-22,11,Luchon to Plateau de Beille,170 km (106 mi),High mountain stage,Marco Pantani (ITA)
1998,1998-07-24,12,Tarascon-sur-Ariège to Cap d'Agde,190 km (118 mi)[a],Flat stage,Tom Steels (BEL)
1998,1998-07-25,13,Frontignan la Peyrade to Carpentras,196 km (122 mi),Flat stage,Daniele Nardello (ITA)
1998,1998-07-26,14,Valréas to Grenoble,186.5 km (116 mi),Mountain stage,Stuart O'Grady (AUS)
1998,1998-07-27,15,Grenoble to Les Deux Alpes,189 km (117 mi),High mountain stage,Marco Pantani (ITA)
1998,1998-07-28,16,Vizille to Albertville,204 km (127 mi),High mountain stage,Jan Ullrich (GER)
1998,1998-07-29,17,Albertville to Aix-les-Bains,149 km (93 mi),High mountain stage,—[b]
1998,1998-07-30,18,Aix-les-Bains to Neuchâtel (Switzerland),218.5 km (136 mi),Mountain stage,Tom Steels (BEL)
1998,1998-07-31,19,La Chaux-de-Fonds (Switzerland) to Autun,242 km (150 mi),Flat stage,Magnus Bäckstedt (SWE)
1998,1998-08-01,20,Montceau-les-Mines to Le Creusot,52 km (32 mi),Individual time trial,Jan Ullrich (GER)
1998,1998-08-02,21,Melun to Paris (Champs-Élysées),147.5 km (92 mi),Flat stage,Tom Steels (BEL)
1999,1999-07-03,P,Le Puy du Fou,6.8 km (4.2 mi),Individual time trial,Lance Armstrong (USA)[a]
1999,1999-07-04,1,Montaigu to Challans,208.0 km (129.2 mi),Plain stage,Jaan Kirsipuu (EST)
1999,1999-07-05,2,Challans to Saint-Nazaire,176.0 km (109.4 mi),Plain stage,Tom Steels (BEL)
1999,1999-07-06,3,Nantes to Laval,194.5 km (120.9 mi),Plain stage,Tom Steels (BEL)
1999,1999-07-07,4,Laval to Blois,194.5 km (120.9 mi),Plain stage,Mario Cipollini (ITA)
1999,1999-07-08,5,Bonneval to Amiens,233.5 km (145.1 mi),Plain stage,Mario Cipollini (ITA)
1999,1999-07-09,6,Amiens to Maubeuge,171.5 km (106.6 mi),Plain stage,Mario Cipollini (ITA)
1999,1999-07-10,7,Avesnes-sur-Helpe to Thionville,227.0 km (141.1 mi),Plain stage,Mario Cipollini (ITA)
1999,1999-07-11,8,Metz,56.5 km (35.1 mi),Individual time trial,Lance Armstrong (USA)[a]
1999,1999-07-13,9,Le Grand-Bornand to Sestrières,213.5 km (132.7 mi),Stage with mountain(s),Lance Armstrong (USA)[a]
1999,1999-07-14,10,Sestrières to Alpe d'Huez,220.5 km (137.0 mi),Stage with mountain(s),Giuseppe Guerini (ITA)
1999,1999-07-15,11,Le Bourg-d'Oisans to Saint-Étienne,198.5 km (123.3 mi),Hilly stage,Ludo Dierckxsens (BEL)
1999,1999-07-16,12,Saint-Galmier to Saint-Flour,201.5 km (125.2 mi),Hilly stage,David Etxebarria (ESP)
1999,1999-07-17,13,Saint-Flour to Albi,236.5 km (147.0 mi),Hilly stage,Salvatore Commesso (ITA)
1999,1999-07-18,14,Castres to Saint-Gaudens,199.0 km (123.7 mi),Plain stage,Dmitri Konychev (RUS)
1999,1999-07-20,15,Saint-Gaudens to Piau-Engaly,173.0 km (107.5 mi),Stage with mountain(s),Fernando Escartín (ESP)
1999,1999-07-21,16,Lannemezan to Pau,192.0 km (119.3 mi),Stage with mountain(s),David Etxebarria (ESP)
1999,1999-07-22,17,Mourenx to Bordeaux,200.0 km (124.3 mi),Plain stage,Tom Steels (BEL)
1999,1999-07-23,18,Jonzac to Futuroscope,187.5 km (116.5 mi),Plain stage,Giampaolo Mondini (ITA)
1999,1999-07-24,19,Futuroscope,57.0 km (35.4 mi),Individual time trial,Lance Armstrong (USA)[a]
1999,1999-07-25,20,Arpajon to Paris (Champs-Élysées),143.5 km (89.2 mi),Plain stage,Robbie McEwen (AUS)
2000,2000-07-01,1,Futuroscope,16.5 km (10.3 mi),Individual time trial,David Millar (GBR)
2000,2000-07-02,2,Futuroscope to Loudun,194.0 km (120.5 mi),Plain stage,Tom Steels (BEL)
2000,2000-07-03,3,Loudun to Nantes,161.5 km (100.4 mi),Plain stage,Tom Steels (BEL)
2000,2000-07-04,4,Nantes to Saint-Nazaire,70.0 km (43.5 mi),Team time trial,ONCE–Deutsche Bank
2000,2000-07-05,5,Vannes to Vitré,202.0 km (125.5 mi),Plain stage,Marcel Wüst (GER)
2000,2000-07-06,6,Vitré to Tours,198.5 km (123.3 mi),Plain stage,Léon van Bon (NED)
2000,2000-07-07,7,Tours to Limoges,205.5 km (127.7 mi),Plain stage,Christophe Agnolutto (FRA)
2000,2000-07-08,8,Limoges to Villeneuve-sur-Lot,203.5 km (126.4 mi),Plain stage,Erik Dekker (NED)
2000,2000-07-09,9,Agen to Dax,181.0 km (112.5 mi),Plain stage,Paolo Bettini (ITA)
2000,2000-07-10,10,Dax to Hautacam,205.0 km (127.4 mi),Stage with mountain(s),Javier Otxoa (ESP)
2000,2000-07-11,11,Bagnères-de-Bigorre to Revel,218.5 km (135.8 mi),Hilly stage,Erik Dekker (NED)
2000,2000-07-13,12,Carpentras to Mont Ventoux,149.0 km (92.6 mi),Stage with mountain(s),Marco Pantani (ITA)
2000,2000-07-14,13,Avignon to Draguignan,185.5 km (115.3 mi),Plain stage,José Vicente Garcia (ESP)
2000,2000-07-15,14,Draguignan to Briançon,249.5 km (155.0 mi),Stage with mountain(s),Santiago Botero (COL)
2000,2000-07-16,15,Briançon to Courchevel,173.5 km (107.8 mi),Stage with mountain(s),Marco Pantani (ITA)
2000,2000-07-18,16,Courchevel to Morzine,196.5 km (122.1 mi),Stage with mountain(s),Richard Virenque (FRA)
2000,2000-07-19,17,Évian-les-Bains to Lausanne,155.0 km (96.3 mi),Hilly stage,Erik Dekker (NED)
2000,2000-07-20,18,Lausanne to Freiburg (Germany),246.5 km (153.2 mi),Plain stage,Salvatore Commesso (ITA)
2000,2000-07-21,19,Freiburg (Germany) to Mulhouse,58.5 km (36.4 mi),Individual time trial,Lance Armstrong (USA)[a]
2000,2000-07-22,20,Belfort to Troyes,254.5 km (158.1 mi),Plain stage,Erik Zabel (GER)
2000,2000-07-23,21,Paris (Eiffel Tower)[12] to Paris (Champs-Élysées),138.0 km (85.7 mi),Plain stage,Stefano Zanini (ITA)
2001,2001-07-07,P,Dunkirk,8.2 km (5.1 mi),Individual time trial,Christophe Moreau (FRA)
2001,2001-07-08,1,Saint-Omer to Boulogne-sur-Mer,194.5 km (120.9 mi),Flat stage,Erik Zabel (GER)
2001,2001-07-09,2,Calais to Antwerp (Belgium),220.5 km (137.0 mi),Flat stage,Marc Wauters (BEL)
2001,2001-07-10,3,Antwerp (Belgium) to Seraing (Belgium),198.5 km (123.3 mi),Flat stage,Erik Zabel (GER)
2001,2001-07-11,4,Huy (Belgium) to Verdun,215.0 km (133.6 mi),Flat stage,Laurent Jalabert (FRA)
2001,2001-07-12,5,Verdun to Bar-le-Duc,67.0 km (41.6 mi),Team time trial,Crédit Agricole
2001,2001-07-13,6,Commercy to Strasbourg,211.5 km (131.4 mi),Flat stage,Jaan Kirsipuu (EST)
2001,2001-07-14,7,Strasbourg to Colmar,162.5 km (101.0 mi),Medium mountain stage,Laurent Jalabert (FRA)
2001,2001-07-15,8,Colmar to Pontarlier,222.5 km (138.3 mi),Flat stage,Erik Dekker (NED)
2001,2001-07-16,9,Pontarlier to Aix-les-Bains,185.0 km (115.0 mi),Flat stage,Serguei Ivanov (RUS)
2001,2001-07-17,10,Aix-les-Bains to Alpe d'Huez,209.0 km (129.9 mi),High mountain stage,Lance Armstrong (USA)[a]
2001,2001-07-18,11,Grenoble to Chamrousse,32.0 km (19.9 mi),Individual time trial,Lance Armstrong (USA)[a]
2001,2001-07-20,12,Perpignan to Plateau de Bonascre,166.5 km (103.5 mi),High mountain stage,Félix Cárdenas (COL)
2001,2001-07-21,13,Foix to Saint-Lary-Soulan Pla d'Adet,194.0 km (120.5 mi),High mountain stage,Lance Armstrong (USA)[a]
2001,2001-07-22,14,Tarbes to Luz Ardiden,141.5 km (87.9 mi),High mountain stage,Roberto Laiseka (ESP)
2001,2001-07-24,15,Pau to Lavaur,232.5 km (144.5 mi),Flat stage,Rik Verbrugghe (BEL)
2001,2001-07-25,16,Castelsarrasin to Sarran,229.5 km (142.6 mi),Flat stage,Jens Voigt (GER)
2001,2001-07-26,17,Brive-la-Gaillarde to Montluçon,194.0 km (120.5 mi),Flat stage,Serge Baguet (BEL)
2001,2001-07-27,18,Montluçon to Saint-Amand-Montrond,61.0 km (37.9 mi),Individual time trial,Lance Armstrong (USA)[a]
2001,2001-07-28,19,Orléans to Évry,149.5 km (92.9 mi),Flat stage,Erik Zabel (GER)
2001,2001-07-29,20,Corbeil-Essonnes to Paris (Champs-Élysées),160.5 km (99.7 mi),Flat stage,Ján Svorada (CZE)
2002,2002-07-06,P,Luxembourg City (Luxembourg),7.0 km (4.3 mi),Individual time trial,Lance Armstrong (USA)[a]
2002,2002-07-07,1,Luxembourg City (Luxembourg),192.5 km (119.6 mi),Plain stage,Rubens Bertogliati (SUI)
2002,2002-07-08,2,Luxembourg City (Luxembourg) to Saarbrücken (Germany),181.0 km (112.5 mi),Plain stage,Óscar Freire (ESP)
2002,2002-07-09,3,Metz to Reims,174.5 km (108.4 mi),Plain stage,Robbie McEwen (AUS)
2002,2002-07-10,4,Épernay to Château-Thierry,67.5 km (41.9 mi),Team time trial,ONCE–Eroski
2002,2002-07-11,5,Soissons to Rouen,195.0 km (121.2 mi),Plain stage,Jaan Kirsipuu (EST)
2002,2002-07-12,6,Forges-les-Eaux to Alençon,199.5 km (124.0 mi),Plain stage,Erik Zabel (GER)
2002,2002-07-13,7,Bagnoles-de-l'Orne to Avranches,176.0 km (109.4 mi),Plain stage,Bradley McGee (AUS)
2002,2002-07-14,8,Saint-Martin-de-Landelles to Plouay,217.5 km (135.1 mi),Plain stage,Karsten Kroon (NED)
2002,2002-07-15,9,Lanester to Lorient,52.0 km (32.3 mi),Individual time trial,Santiago Botero (COL)
2002,2002-07-17,10,Bazas to Pau,147.0 km (91.3 mi),Plain stage,Patrice Halgand (FRA)
2002,2002-07-18,11,Pau to La Mongie,158.0 km (98.2 mi),Stage with mountain(s),Lance Armstrong (USA)[a]
2002,2002-07-19,12,Lannemezan to Plateau de Beille,199.5 km (124.0 mi),Stage with mountain(s),Lance Armstrong (USA)[a]
2002,2002-07-20,13,Lavelanet to Béziers,171.0 km (106.3 mi),Plain stage,David Millar (GBR)
2002,2002-07-21,14,Lodève to Mont Ventoux,221.0 km (137.3 mi),Stage with mountain(s),Richard Virenque (FRA)
2002,2002-07-23,15,Vaison-la-Romaine to Les Deux Alpes,226.5 km (140.7 mi),Hilly stage,Santiago Botero (COL)
2002,2002-07-24,16,Les Deux Alpes to La Plagne,179.5 km (111.5 mi),Stage with mountain(s),Michael Boogerd (NED)
2002,2002-07-25,17,Aime to Cluses,142.0 km (88.2 mi),Stage with mountain(s),Dario Frigo (ITA)
2002,2002-07-26,18,Cluses to Bourg-en-Bresse,176.5 km (109.7 mi),Hilly stage,Thor Hushovd (NOR)
2002,2002-07-27,19,Régnié-Durette to Mâcon,50.0 km (31.1 mi),Individual time trial,Lance Armstrong (USA)[a]
2002,2002-07-28,20,Melun to Paris (Champs-Élysées),144.0 km (89.5 mi),Plain stage,Robbie McEwen (AUS)
2003,2003-07-05,P,Paris,6.5 km (4.0 mi),Individual time trial,Bradley McGee (AUS)
2003,2003-07-06,1,Saint-Denis to Meaux,168.0 km (104.4 mi),Flat stage,Alessandro Petacchi (ITA)
2003,2003-07-07,2,La Ferté-sous-Jouarre to Sedan,204.5 km (127.1 mi),Flat stage,Baden Cooke (AUS)
2003,2003-07-08,3,Charleville-Mézières to Saint-Dizier,167.5 km (104.1 mi),Flat stage,Alessandro Petacchi (ITA)
2003,2003-07-09,4,Joinville to Saint-Dizier,69.0 km (42.9 mi),Team time trial,U.S. Postal Service (USA)
2003,2003-07-10,5,Troyes to Nevers,196.5 km (122.1 mi),Flat stage,Alessandro Petacchi (ITA)
2003,2003-07-11,6,Nevers to Lyon,230.0 km (142.9 mi),Flat stage,Alessandro Petacchi (ITA)
2003,2003-07-12,7,Lyon to Morzine,230.5 km (143.2 mi),Mountain Stage (s),Richard Virenque (FRA)
2003,2003-07-13,8,Sallanches to Alpe d'Huez,219.0 km (136.1 mi),Mountain Stage (s),Iban Mayo (ESP)
2003,2003-07-14,9,Le Bourg-d'Oisans to Gap,184.5 km (114.6 mi),Mountain Stage (s),Alexander Vinokourov (KAZ)
2003,2003-07-15,10,Gap to Marseille,219.5 km (136.4 mi),Flat stage,Jakob Piil (DEN)
2003,2003-07-17,11,Narbonne to Toulouse,153.5 km (95.4 mi),Flat stage,Juan Antonio Flecha (ESP)
2003,2003-07-18,12,Gaillac to Cap Découverte,47.0 km (29.2 mi),Individual time trial,Jan Ullrich (GER)
2003,2003-07-19,13,Toulouse to Ax 3 Domaines,197.5 km (122.7 mi),Mountain Stage (s),Carlos Sastre (ESP)
2003,2003-07-20,14,Saint-Girons to Loudenvielle,191.5 km (119.0 mi),Mountain Stage (s),Gilberto Simoni (ITA)
2003,2003-07-21,15,Bagnères-de-Bigorre to Luz Ardiden,159.5 km (99.1 mi),Mountain Stage (s),Lance Armstrong (USA)[a]
2003,2003-07-23,16,Pau to Bayonne,197.5 km (122.7 mi),Hilly stage,Tyler Hamilton (USA)
2003,2003-07-24,17,Dax to Bordeaux,181.0 km (112.5 mi),Flat stage,Servais Knaven (NED)
2003,2003-07-25,18,Bordeaux to Saint-Maixent-l'École,203.5 km (126.4 mi),Flat stage,Pablo Lastras (ESP)
2003,2003-07-26,19,Pornic to Nantes,49.0 km (30.4 mi),Individual time trial,David Millar (GBR)
2003,2003-07-27,20,Ville-d'Avray to Paris (Champs-Élysées),152.0 km (94.4 mi),Flat stage,Jean-Patrick Nazon (FRA)
2004,2004-07-03,P,Liège (Belgium),6.1 km (3.8 mi),Individual time trial,Fabian Cancellara (SUI)
2004,2004-07-04,1,Liège (Belgium) to Charleroi (Belgium),202.5 km (125.8 mi),Plain stage,Jaan Kirsipuu (EST)
2004,2004-07-05,2,Charleroi (Belgium) to Namur (Belgium),197.0 km (122.4 mi),Plain stage,Robbie McEwen (AUS)
2004,2004-07-06,3,Waterloo (Belgium) to Wasquehal,210.0 km (130.5 mi),Plain stage,Jean-Patrick Nazon (FRA)
2004,2004-07-07,4,Cambrai to Arras,64.5 km (40.1 mi),Team time trial,U.S. Postal Service (USA)
2004,2004-07-08,5,Amiens to Chartres,200.5 km (124.6 mi),Plain stage,Stuart O'Grady (AUS)
2004,2004-07-09,6,Bonneval to Angers,196.0 km (121.8 mi),Plain stage,Tom Boonen (BEL)
2004,2004-07-10,7,Châteaubriant to Saint-Brieuc,204.5 km (127.1 mi),Plain stage,Filippo Pozzato (ITA)
2004,2004-07-11,8,Lamballe to Quimper,168.0 km (104.4 mi),Plain stage,Thor Hushovd (NOR)
2004,2004-07-13,9,Saint-Léonard-de-Noblat to Guéret,160.5 km (99.7 mi),Plain stage,Robbie McEwen (AUS)
2004,2004-07-14,10,Limoges to Saint-Flour,237.0 km (147.3 mi),Hilly stage,Richard Virenque (FRA)
2004,2004-07-15,11,Saint-Flour to Figeac,164.0 km (101.9 mi),Hilly stage,David Moncoutié (FRA)
2004,2004-07-16,12,Castelsarrasin to La Mongie,197.5 km (122.7 mi),Mountain stage,Ivan Basso (ITA)
2004,2004-07-17,13,Lannemezan to Plateau de Beille,205.5 km (127.7 mi),Mountain stage,Lance Armstrong (USA)[a]
2004,2004-07-18,14,Carcassonne to Nîmes,192.5 km (119.6 mi),Plain stage,Aitor González (ESP)
2004,2004-07-20,15,Valréas to Villard-de-Lans,180.5 km (112.2 mi),Mountain stage,Lance Armstrong (USA)[a]
2004,2004-07-21,16,Le Bourg-d'Oisans to Alpe d'Huez,15.5 km (9.6 mi),Individual time trial,Lance Armstrong (USA)[a]
2004,2004-07-22,17,Le Bourg-d'Oisans to Le Grand-Bornand,204.5 km (127.1 mi),Mountain stage,Lance Armstrong (USA)[a]
2004,2004-07-23,18,Annemasse to Lons-le-Saunier,166.5 km (103.5 mi),Hilly stage,Juan Miguel Mercado (ESP)
2004,2004-07-24,19,Besançon to Besançon,55.0 km (34.2 mi),Individual time trial,Lance Armstrong (USA)[a]
2004,2004-07-25,20,Montereau-Fault-Yonne to Paris (Champs-Élysées),163.0 km (101.3 mi),Plain stage,Tom Boonen (BEL)
2005,2005-07-02,1,Fromentine to Noirmoutier-en-l'Île,19.0 km (11.8 mi),Individual time trial,David Zabriskie (USA)
2005,2005-07-03,2,Challans to Les Essarts,181.5 km (112.8 mi),Plain stage,Tom Boonen (BEL)
2005,2005-07-04,3,La Châtaigneraie to Tours,212.5 km (132.0 mi),Plain stage,Tom Boonen (BEL)
2005,2005-07-05,4,Tours to Blois,67.5 km (41.9 mi),Team time trial,Discovery Channel
2005,2005-07-06,5,Chambord to Montargis,183.0 km (113.7 mi),Plain stage,Robbie McEwen (AUS)
2005,2005-07-07,6,Troyes to Nancy,199.0 km (123.7 mi),Plain stage,Lorenzo Bernucci (ITA)
2005,2005-07-08,7,Lunéville to Karlsruhe (Germany),228.5 km (142.0 mi),Plain stage,Robbie McEwen (AUS)
2005,2005-07-09,8,Pforzheim (Germany) to Gérardmer,231.5 km (143.8 mi),Hilly stage,Pieter Weening (NED)
2005,2005-07-10,9,Gérardmer to Mulhouse,171.0 km (106.3 mi),Hilly stage,Michael Rasmussen (DEN)
2005,2005-07-12,10,Grenoble to Courchevel,177.0 km (110.0 mi),Mountain stage,Alejandro Valverde (ESP)
2005,2005-07-13,11,Courchevel to Briançon,173.0 km (107.5 mi),Mountain stage,Alexander Vinokourov (KAZ)
2005,2005-07-14,12,Briançon to Digne-les-Bains,187.0 km (116.2 mi),Hilly stage,David Moncoutié (FRA)
2005,2005-07-15,13,Miramas to Montpellier,173.5 km (107.8 mi),Plain stage,Robbie McEwen (AUS)
2005,2005-07-16,14,Agde to Ax 3 Domaines,220.5 km (137.0 mi),Mountain stage,Georg Totschnig (AUT)
2005,2005-07-17,15,Lézat-sur-Lèze to Saint-Lary-Soulan Pla d'Adet,205.5 km (127.7 mi),Mountain stage,George Hincapie (USA)
2005,2005-07-19,16,Mourenx to Pau,180.5 km (112.2 mi),Mountain stage,Óscar Pereiro (ESP)
2005,2005-07-20,17,Pau to Revel,239.5 km (148.8 mi),Plain stage,Paolo Savoldelli (ITA)
2005,2005-07-21,18,Albi to Mende,189.0 km (117.4 mi),Hilly stage,Marcos Antonio Serrano (ESP)
2005,2005-07-22,19,Issoire to Le Puy-en-Velay,153.5 km (95.4 mi),Hilly stage,Giuseppe Guerini (ITA)
2005,2005-07-23,20,Saint-Étienne to Saint-Étienne,55.5 km (34.5 mi),Individual time trial,Lance Armstrong (USA)[a]
2005,2005-07-24,21,Corbeil-Essonnes to Paris (Champs-Élysées),144.5 km (89.8 mi),Plain stage,Alexander Vinokourov (KAZ)
2006,2006-07-01,P,Strasbourg,7.1 km (4 mi),Individual time trial,Thor Hushovd (NOR)
2006,2006-07-02,1,Strasbourg,184.5 km (115 mi),Flat stage,Jimmy Casper (FRA)
2006,2006-07-03,2,Obernai to Esch-sur-Alzette (Luxembourg),228.5 km (142 mi),Flat stage,Robbie McEwen (AUS)
2006,2006-07-04,3,Esch-sur-Alzette (Luxembourg) to Valkenburg (Netherlands),216.5 km (135 mi),Hilly stage,Matthias Kessler (GER)
2006,2006-07-05,4,Huy (Belgium) to Saint-Quentin,207.0 km (129 mi),Flat stage,Robbie McEwen (AUS)
2006,2006-07-06,5,Beauvais to Caen,225.0 km (140 mi),Flat stage,Óscar Freire (ESP)
2006,2006-07-07,6,Lisieux to Vitré,189.0 km (117 mi),Flat stage,Robbie McEwen (AUS)
2006,2006-07-08,7,Saint Grégoire to Rennes,52.0 km (32 mi),Individual time trial,Serhiy Honchar (UKR)
2006,2006-07-09,8,Saint-Méen-le-Grand to Lorient,181.0 km (112 mi),Flat stage,Sylvain Calzati (FRA)
2006,2006-07-11,9,Bordeaux to Dax,169.5 km (105 mi),Flat stage,Óscar Freire (ESP)
2006,2006-07-12,10,Cambo-les-Bains to Pau,190.5 km (118 mi),Mountain stage,Juan Miguel Mercado (ESP)
2006,2006-07-13,11,Tarbes to Val d'Aran/Pla-de-Beret,206.5 km (128 mi),Mountain stage,Denis Menchov (RUS)
2006,2006-07-14,12,Luchon to Carcassonne,211.5 km (131 mi),Hilly stage,Yaroslav Popovych (UKR)
2006,2006-07-15,13,Béziers to Montélimar,230.0 km (143 mi),Flat stage,Jens Voigt (GER)
2006,2006-07-16,14,Montélimar to Gap,180.5 km (112 mi),Hilly stage,Pierrick Fédrigo (FRA)
2006,2006-07-18,15,Gap to Alpe d'Huez,187.0 km (116 mi),Mountain stage,Fränk Schleck (LUX)
2006,2006-07-19,16,Le Bourg-d'Oisans to La Toussuire,182.0 km (113 mi),Mountain stage,Michael Rasmussen (DEN)
2006,2006-07-20,17,Saint-Jean-de-Maurienne to Morzine,200.5 km (125 mi),Mountain stage,Carlos Sastre (ESP)
2006,2006-07-21,18,Morzine to Mâcon,197.0 km (122 mi),Flat stage,Matteo Tosatto (ITA)
2006,2006-07-22,19,Le Creusot to Montceau-les-Mines,57.0 km (35 mi),Individual time trial,Serhiy Honchar (UKR)
2006,2006-07-23,20,Antony/Parc de Sceaux to Paris (Champs-Élysées),154.5 km (96 mi),Flat stage,Thor Hushovd (NOR)
2007,2007-07-07,P,London (United Kingdom),7.9 km (5 mi),Individual time trial,Fabian Cancellara (SUI)
2007,2007-07-08,1,London (United Kingdom) to Canterbury (United Kingdom),203 km (126 mi),Plain stage,Robbie McEwen (AUS)
2007,2007-07-09,2,Dunkirk to Ghent (Belgium),168.5 km (105 mi),Plain stage,Gert Steegmans (BEL)
2007,2007-07-10,3,Waregem (Belgium) – Compiègne,236.5 km (147 mi),Plain stage,Fabian Cancellara (SUI)
2007,2007-07-11,4,Villers-Cotterêts to Joigny,193 km (120 mi),Plain stage,Thor Hushovd (NOR)
2007,2007-07-12,5,Chablis to Autun,182.5 km (113 mi),Intermediate stage,Filippo Pozzato (ITA)
2007,2007-07-13,6,Semur-en-Auxois to Bourg-en-Bresse,199.5 km (124 mi),Plain stage,Tom Boonen (BEL)
2007,2007-07-14,7,Bourg-en-Bresse to Le Grand-Bornand,197.5 km (123 mi),Mountain stage,Linus Gerdemann (GER)
2007,2007-07-15,8,Le Grand-Bornand to Tignes,165 km (103 mi),Mountain stage,Michael Rasmussen (DEN)
2007,2007-07-17,9,Val-d'Isère to Briançon,159.5 km (99 mi),Mountain stage,Mauricio Soler (COL)
2007,2007-07-18,10,Tallard to Marseille,229.5 km (143 mi),Plain stage,Cédric Vasseur (FRA)
2007,2007-07-19,11,Marseille to Montpellier,182.5 km (113 mi),Plain stage,Robert Hunter (RSA)
2007,2007-07-20,12,Montpellier to Castres,178.5 km (111 mi),Intermediate stage,Tom Boonen (BEL)
2007,2007-07-21,13,Albi,54 km (34 mi),Individual time trial,Cadel Evans (AUS)[a]
2007,2007-07-22,14,Mazamet to Plateau-de-Beille,197 km (122 mi),Mountain stage,Alberto Contador (ESP)
2007,2007-07-23,15,Foix to Loudenvielle,196 km (122 mi),Mountain stage,Kim Kirchen (LUX)[a]
2007,2007-07-25,16,Orthez to Gourette–Col d'Aubisque,218.5 km (136 mi),Mountain stage,Michael Rasmussen (DEN)
2007,2007-07-26,17,Pau to Castelsarrasin,188.5 km (117 mi),Intermediate stage,Daniele Bennati (ITA)
2007,2007-07-27,18,Cahors to Angoulême,211 km (131 mi),Plain stage,Sandy Casar (FRA)
2007,2007-07-28,19,Cognac to Angoulême,55.5 km (34 mi),Individual time trial,Levi Leipheimer (USA)
2007,2007-07-29,20,Marcoussis to Paris (Champs-Élysées),146 km (91 mi),Plain stage,Daniele Bennati (ITA)
2008,2008-07-05,1,Brest to Plumelec,197.5 km (122.7 mi),Flat stage,Alejandro Valverde (ESP)
2008,2008-07-06,2,Auray to Saint-Brieuc,164.5 km (102.2 mi),Flat stage,Thor Hushovd (NOR)
2008,2008-07-07,3,Saint-Malo to Nantes,208.0 km (129.2 mi),Flat stage,Samuel Dumoulin (FRA)
2008,2008-07-08,4,Cholet to Cholet,29.5 km (18.3 mi),Individual time trial,Kim Kirchen (LUX)
2008,2008-07-09,5,Cholet to Châteauroux,232.0 km (144.2 mi),Flat stage,Mark Cavendish (GBR)
2008,2008-07-10,6,Aigurande to Super-Besse Sancy,195.5 km (121.5 mi),Transition stage,Alejandro Valverde (ESP)
2008,2008-07-11,7,Brioude to Aurillac,159.0 km (98.8 mi),Transition stage,Luis León Sánchez (ESP)
2008,2008-07-12,8,Figeac to Toulouse,172.5 km (107.2 mi),Flat stage,Mark Cavendish (GBR)
2008,2008-07-13,9,Toulouse to Bagnères-de-Bigorre,224.0 km (139.2 mi),Mountain stage,Vladimir Efimkin (RUS)
2008,2008-07-14,10,Pau to Hautacam,156.0 km (96.9 mi),Mountain stage,Juan José Cobo (ESP)
2008,2008-07-16,11,Lannemezan to Foix,167.5 km (104.1 mi),Transition stage,Kurt Asle Arvesen (NOR)
2008,2008-07-17,12,Lavelanet to Narbonne,168.5 km (104.7 mi),Flat stage,Mark Cavendish (GBR)
2008,2008-07-18,13,Narbonne to Nîmes,182.0 km (113.1 mi),Flat stage,Mark Cavendish (GBR)
2008,2008-07-19,14,Nîmes to Digne-les-Bains,194.5 km (120.9 mi),Flat stage,Óscar Freire (ESP)
2008,2008-07-20,15,Embrun[a] to Prato Nevoso (Italy),183.0 km (113.7 mi),Mountain stage,Simon Gerrans (AUS)
